Progress,RMS,StR
0,1.07093265e-05,17.022126779190117
1,1.0511861e-05,16.60838330074817
2,9.90789e-06,16.311494614998573
3,9.500237e-06,16.058230589357002
4,9.065693e-06,15.74455031438205
5,8.588675e-06,15.573352168036667
6,8.093893e-06,15.430077904837432
7,7.864076e-06,15.174565437387063
8,7.448229e-06,15.00533859953556
9,7.1802456e-06,14.885734897936043
10,6.8827635e-06,14.76265834424989
11,6.576398e-06,14.630049676679093
12,6.495648e-06,14.39246485048081
13,6.114105e-06,14.414825510388843
14,5.8485493e-06,14.31187483358263
15,5.7962993e-06,14.206970858578767
16,5.6255813e-06,14.061615876715788
17,5.5308587e-06,13.941850425863382
18,5.4139277e-06,13.855723746634222
19,5.234879e-06,13.861957706197847
20,5.0001204e-06,13.874025402938637
21,4.9093765e-06,13.807429463932051
22,4.769567e-06,13.794443110346648
23,4.680302e-06,13.804041755056119
24,4.5895035e-06,13.879190594400157
25,4.3109267e-06,13.996953107468862
26,4.2074703e-06,14.073618937718262
27,4.2446077e-06,14.055246693747485
28,4.044034e-06,14.21363699877597
29,3.992009e-06,14.123111709047159
30,3.9493734e-06,nan
31,3.943869e-06,nan
32,4.0505597e-06,nan
33,3.9704405e-06,nan
34,4.0422633e-06,nan
35,4.0334216e-06,nan
36,4.023473e-06,nan
37,4.023268e-06,nan
38,4.0275136e-06,nan
39,4.154503e-06,nan
40,4.175455e-06,nan
41,4.27594e-06,nan
42,4.212072e-06,nan
43,4.3343266e-06,nan
44,4.3445507e-06,nan
45,4.3368677e-06,nan
46,4.4657986e-06,nan
47,4.697013e-06,nan
48,4.793353e-06,nan
49,4.800057e-06,nan
50,4.988944e-06,nan
51,5.124459e-06,nan
52,5.262403e-06,nan
53,5.2988885e-06,nan
54,5.5259516e-06,nan
55,5.5447586e-06,nan
56,5.894821e-06,nan
57,5.865612e-06,nan
58,5.903092e-06,nan
59,6.0533894e-06,nan
60,6.086518e-06,nan
61,6.048378e-06,nan
62,6.0674483e-06,nan
63,6.034775e-06,nan
64,6.2406157e-06,nan
65,6.4341184e-06,nan
66,6.7771202e-06,nan
67,7.4048185e-06,16.438200352816114
68,7.787082e-06,16.45615210239088
69,8.250132e-06,16.453681822283574
70,8.594066e-06,16.49441471206544
71,8.869277e-06,16.597797644398728
72,8.963485e-06,16.74428127265043
73,8.989253e-06,16.93233744597876
74,9.185896e-06,17.08929909756612
75,9.096015e-06,17.319012349390245
76,9.266635e-06,17.40321170194758
77,9.018554e-06,17.7597417251255
78,9.123328e-06,17.93476896424741
79,9.347013e-06,18.003773590737346
80,9.357426e-06,18.241975464468936
81,9.703711e-06,18.266624008520793
82,9.7439115e-06,18.492146029374496
83,1.0138065e-05,18.467714626014704
84,1.0285247e-05,18.614461104662283
85,1.0340431e-05,18.78745399512602
86,1.0687719e-05,18.866791297227714
