Progress,RMS,StR
0,1.06155785e-05,66.62843648086933
1,1.0362811e-05,66.40681246342811
2,9.9764175e-06,66.27206490357811
3,9.508764e-06,66.24820188347982
4,9.470013e-06,65.95111959770927
5,9.13695e-06,65.96837929908335
6,9.056327e-06,65.76425069060758
7,8.875362e-06,65.57452233931565
8,8.585394e-06,65.49147648121479
9,8.264452e-06,65.36673461240801
10,8.054073e-06,65.2540628805541
11,8.051481e-06,65.06558945478153
12,7.736729e-06,64.9871220877104
13,7.4704562e-06,64.90005101557296
14,7.609762e-06,64.63488588763622
15,7.5357166e-06,64.41380803030006
16,7.389722e-06,64.26534971712286
17,7.083962e-06,64.24321016793601
18,6.9294074e-06,64.1506334869857
19,6.920623e-06,63.9974301970883
20,6.977054e-06,63.65388184112332
21,6.8121954e-06,63.56100590834864
22,6.7051515e-06,63.37142760033001
23,6.5109853e-06,63.393380738390334
24,6.6614825e-06,63.0177870989901
25,6.6044886e-06,62.874743616073296
26,6.589316e-06,62.69846614274071
27,6.284518e-06,nan
28,6.436559e-06,nan
29,6.04147e-06,nan
30,6.1610795e-06,nan
31,6.014388e-06,nan
32,6.1381434e-06,nan
33,6.204915e-06,nan
34,6.2373315e-06,nan
35,6.556888e-06,nan
36,6.418996e-06,nan
37,6.480345e-06,nan
38,6.331373e-06,nan
39,6.213258e-06,nan
40,6.1109517e-06,nan
41,6.1479695e-06,nan
42,6.075496e-06,nan
43,6.23109e-06,nan
44,6.3164734e-06,nan
45,6.0351254e-06,nan
46,6.014834e-06,nan
47,6.131811e-06,nan
48,6.065245e-06,nan
49,6.0567168e-06,nan
50,6.0548045e-06,nan
51,6.02589e-06,nan
52,6.124205e-06,nan
53,6.086468e-06,nan
54,6.0601037e-06,nan
55,6.084165e-06,nan
56,6.221932e-06,nan
57,6.208082e-06,nan
58,6.0853854e-06,nan
59,6.1737737e-06,nan
60,6.4173933e-06,nan
61,6.3427524e-06,nan
62,6.3526663e-06,nan
63,6.506974e-06,nan
64,6.568724e-06,nan
65,6.5707973e-06,nan
66,6.5215186e-06,nan
67,6.6767443e-06,nan
68,6.5535824e-06,nan
69,6.653478e-06,nan
70,6.5595573e-06,nan
71,6.525255e-06,nan
72,6.581549e-06,nan
73,6.6009693e-06,nan
74,6.603419e-06,nan
75,6.6557236e-06,nan
76,6.876524e-06,nan
77,6.9108537e-06,nan
78,6.781742e-06,nan
79,6.911929e-06,nan
80,7.046868e-06,nan
81,7.2852486e-06,nan
82,7.1973313e-06,nan
83,7.3493957e-06,nan
84,7.559694e-06,nan
85,7.593449e-06,nan
86,7.54283e-06,nan
87,7.655093e-06,nan
88,7.915996e-06,nan
89,8.259291e-06,nan
90,8.072134e-06,nan
91,7.971773e-06,nan
92,8.237103e-06,nan
93,8.563103e-06,nan
94,8.313368e-06,nan
95,8.252421e-06,nan
96,8.553144e-06,nan
97,8.66591e-06,nan
98,8.5690945e-06,nan
99,8.914757e-06,nan
100,8.8471215e-06,nan
101,8.714195e-06,nan
102,8.906916e-06,nan
103,9.489112e-06,nan
104,9.439562e-06,nan
105,9.654097e-06,nan
106,9.577051e-06,nan
107,9.234172e-06,nan
108,9.840404e-06,nan
109,1.0048953e-05,nan
110,1.02301665e-05,nan
111,1.0736796e-05,56.168144513887654
112,1.0528449e-05,56.28813382910138
113,1.0932691e-05,56.218083811289645
114,1.1449464e-05,56.27595529290745
115,1.127481e-05,56.38163642845104
116,1.16073725e-05,56.427182189127464
117,1.1677762e-05,56.50185046899416
118,1.1893181e-05,56.488172813923484
119,1.2621208e-05,56.34725137675701
120,1.3076435e-05,56.32302046126685
121,1.3281951e-05,56.3821180537974
122,1.3572811e-05,56.41612495426571
123,1.36553235e-05,56.54553629657361
124,1.4033406e-05,56.564596403922856
125,1.4702958e-05,56.450543375490945
126,1.5098373e-05,56.46667548978484
127,1.568126e-05,56.42286610478398
128,1.6146107e-05,56.39449511424799
129,1.6753798e-05,56.36491375162678
130,1.7202283e-05,56.37575575377139
131,1.7481538e-05,56.464749938974094
132,1.8052839e-05,56.39963815067816
133,1.8007819e-05,56.53460183493928
134,1.8581643e-05,56.53029429735707
135,1.8888863e-05,56.598762449352975
136,1.9000063e-05,56.68121297128139
137,1.9360656e-05,56.650379807790486
138,1.9440939e-05,56.70995886484613
139,1.9498068e-05,56.7694428963417
140,1.870997e-05,56.96638418988813
141,1.8384597e-05,57.05722214800063
142,1.8007542e-05,57.11177212717892
143,1.7654014e-05,57.14651879134347
144,1.7683897e-05,57.09640040407613
145,1.7526638e-05,57.02174896124511
146,1.7282326e-05,57.03238905664978
147,1.7032364e-05,56.991406219976355
148,1.707815e-05,56.90906371766644
149,1.6246631e-05,56.97868437332137
150,1.6309577e-05,56.872162720772735
151,1.5985665e-05,56.81480748957186
152,1.5879476e-05,56.72342144093928
153,1.5669742e-05,56.646316917202526
154,1.5226215e-05,56.590596344249406
155,1.5173842e-05,56.456919562602685
156,1.4863656e-05,56.41551490395527
157,1.4883313e-05,56.24032647853796
158,1.4820912e-05,56.126504424497526
159,1.4824051e-05,55.9129650620696
160,1.4413366e-05,55.86516237027543
161,1.4308939e-05,55.74286158949248
162,1.4207235e-05,55.61361633444975
163,1.369476e-05,55.645296852726844
164,1.3648233e-05,55.46887243290699
165,1.3285327e-05,55.4582280648976
166,1.2815887e-05,55.43117733957772
167,1.2883971e-05,55.32633319079595
168,1.2177016e-05,55.41296254485604
169,1.232554e-05,55.25832738011595
170,1.2001895e-05,55.29531176197455
171,1.13475935e-05,55.31797650442429
172,1.1264799e-05,55.25131060999951
173,1.11523395e-05,55.25579975427132
174,1.0786828e-05,nan
175,1.03223465e-05,nan
176,9.897482e-06,nan
177,9.849022e-06,nan
178,9.727822e-06,nan
179,9.728761e-06,nan
180,9.670069e-06,nan
181,9.410339e-06,nan
182,9.047969e-06,nan
183,8.86695e-06,nan
184,8.960907e-06,nan
185,8.811038e-06,nan
186,8.714348e-06,nan
187,8.490331e-06,nan
188,8.265517e-06,nan
189,8.059214e-06,nan
190,8.229888e-06,nan
191,8.226584e-06,nan
192,8.084418e-06,nan
193,7.5440894e-06,nan
194,7.487814e-06,nan
195,7.5759913e-06,nan
196,7.578872e-06,nan
197,7.1772533e-06,nan
198,6.9728544e-06,nan
199,7.0099936e-06,nan
200,7.0612564e-06,nan
201,6.8786917e-06,nan
202,6.7801607e-06,nan
203,6.818507e-06,nan
204,6.849277e-06,nan
205,6.780343e-06,nan
206,6.5064264e-06,nan
207,6.556785e-06,nan
208,6.7410424e-06,nan
209,6.644193e-06,nan
210,6.6520806e-06,nan
211,6.634576e-06,nan
212,6.6073703e-06,nan
213,6.679469e-06,nan
214,6.392107e-06,nan
215,6.200918e-06,nan
216,6.384436e-06,nan
217,6.4001156e-06,nan
218,6.227548e-06,nan
219,6.27861e-06,nan
220,6.412554e-06,nan
221,6.236091e-06,nan
222,6.055159e-06,nan
223,6.140837e-06,nan
224,6.087659e-06,nan
225,5.8577916e-06,nan
226,5.863329e-06,nan
227,6.0437283e-06,nan
228,5.964737e-06,nan
229,5.8328746e-06,nan
230,5.909944e-06,nan
231,5.7562024e-06,nan
232,5.9191025e-06,nan
