Progress,RMS,StR
0,9.75392e-06,49.120469119888874
1,9.402046e-06,48.780837186347696
2,8.951578e-06,48.390097889291816
3,8.532265e-06,48.180049527090034
4,8.3229315e-06,47.824000342980085
5,8.045259e-06,47.56620063459309
6,7.503517e-06,47.42262786865688
7,7.369336e-06,47.136148817144345
8,7.0648402e-06,46.931467609612305
9,6.8243353e-06,46.88467089473985
10,6.514631e-06,46.791887820585046
11,6.3814164e-06,46.56137238976133
12,6.1102496e-06,46.47933815191329
13,5.8820538e-06,46.42543896247644
14,5.602627e-06,46.41254440559674
15,5.382312e-06,46.34635444314295
16,5.3154085e-06,46.36480823413614
17,5.1616894e-06,46.29700648260516
18,4.748473e-06,46.27992531677904
19,4.7894305e-06,46.209923534424355
20,4.611428e-06,46.36839646645639
21,4.3913747e-06,46.42320637306405
22,4.3778014e-06,nan
23,4.1160997e-06,nan
24,4.1538965e-06,nan
25,4.2038423e-06,nan
26,4.4105377e-06,nan
27,4.1107137e-06,nan
28,3.991219e-06,nan
29,3.7944926e-06,nan
30,4.204047e-06,nan
31,3.7204948e-06,nan
32,4.0202835e-06,nan
33,3.6663962e-06,nan
34,3.922377e-06,nan
35,4.0697123e-06,nan
36,4.0251057e-06,nan
37,4.002322e-06,nan
38,3.951093e-06,nan
39,3.924562e-06,nan
40,3.8485546e-06,nan
41,3.8917237e-06,nan
42,4.018328e-06,nan
43,3.952275e-06,nan
44,3.9797696e-06,nan
45,4.002912e-06,nan
46,4.0409873e-06,nan
47,3.979776e-06,nan
48,4.069264e-06,nan
49,4.029563e-06,nan
50,4.022288e-06,nan
51,4.128205e-06,nan
52,4.114381e-06,nan
53,4.3810255e-06,nan
54,4.2215356e-06,nan
55,4.2010365e-06,nan
56,4.4171425e-06,nan
57,4.3169857e-06,nan
58,4.736854e-06,49.06200876560283
59,4.7205417e-06,49.194519101555834
60,5.008233e-06,49.25451575785171
61,4.961725e-06,49.36757158207625
62,5.1151983e-06,49.509996751769336
63,5.2489827e-06,49.53581081398867
64,5.332427e-06,49.700806529174535
65,5.3347285e-06,49.87943368737469
66,5.5929922e-06,49.83468878346939
67,5.6822155e-06,49.943658803191695
68,5.560683e-06,50.04810808911563
69,5.573551e-06,50.16405308863863
70,5.700032e-06,50.211479622079736
71,5.824446e-06,50.292983804434314
72,5.81325e-06,50.34519100336173
73,5.8809856e-06,50.41678536966054
74,5.781612e-06,50.61898018818967
75,5.9730605e-06,50.627302245340935
76,6.0065013e-06,50.82378724513123
77,6.1870537e-06,50.76925896780351
78,6.371169e-06,50.870324778003265
79,6.834216e-06,50.728933257338184
80,6.699976e-06,50.85808004703482
81,6.966397e-06,50.87336637341907
82,7.1449085e-06,50.874780577191245
83,7.331888e-06,50.861357099887755
84,7.822597e-06,50.77786027935527
85,7.781699e-06,50.96352696518331
86,7.992975e-06,50.9831503687822
87,8.249127e-06,51.04596706544106
88,8.607287e-06,51.03017098211041
89,8.702272e-06,51.048816920895646
90,8.8676e-06,51.187390213157116
91,9.123453e-06,51.3288600676447
92,9.374227e-06,51.361046658789945
93,9.719333e-06,51.33518919965644
94,9.895014e-06,51.47544516030722
95,1.0160268e-05,51.55745901493902
96,1.0610439e-05,51.509022210514075
97,1.0861757e-05,51.58662436305653
98,1.0940516e-05,51.78645404682843
99,1.1526718e-05,51.77320061556844
100,1.1371717e-05,52.152793702770026
101,1.1741014e-05,52.1691734382601
102,1.1789162e-05,52.426153907400376
103,1.2143212e-05,52.46274298354484
104,1.2442751e-05,52.537654405589194
105,1.2559987e-05,52.842384138735625
106,1.3068348e-05,52.85831663982553
107,1.2989348e-05,53.16659788643194
108,1.3501439e-05,53.19829077319869
109,1.335892e-05,53.55093777730774
110,1.3813079e-05,53.58576695781393
111,1.3851767e-05,53.816506134932254
112,1.39840095e-05,54.020418360540184
113,1.4384891e-05,54.13161393069865
114,1.4584041e-05,54.33461902188294
115,1.4941779e-05,54.42383025860292
116,1.5001836e-05,54.57834502783065
117,1.50967e-05,54.75524531069774
118,1.5501675e-05,54.92005369002979
119,1.573867e-05,54.976369865524944
120,1.613024e-05,55.089281509255976
121,1.6393153e-05,55.19084010560078
122,1.7229746e-05,55.165714044304764
123,1.706572e-05,55.35939369841572
124,1.7359418e-05,55.42297092704202
125,1.7982406e-05,55.39465852189228
126,1.8146899e-05,55.630305726821796
127,1.8436249e-05,55.74586136518504
128,2.003857e-05,55.67047529432923
129,2.0074553e-05,55.76687083273381
130,2.1417583e-05,55.73462767628882
131,2.2529515e-05,55.72805469254817
132,2.3018898e-05,55.69700187673103
133,2.39538e-05,55.73162300852065
134,2.5437992e-05,55.612712715920736
135,2.528289e-05,55.76227811281192
136,2.612647e-05,55.7243332546971
137,2.6596863e-05,55.73673003646077
138,2.6878508e-05,55.825776847808086
139,2.628559e-05,55.85240286323302
140,2.4777997e-05,56.294491388506565
141,2.4842144e-05,56.315432821209384
142,2.3882763e-05,56.46497392294674
143,2.3417486e-05,56.52579288083214
144,2.3077862e-05,56.49198686701298
145,2.303048e-05,56.48734729941691
146,2.2315216e-05,56.45627892942187
147,2.2027607e-05,56.43054628682507
148,2.1554222e-05,56.32273783049037
149,2.1158676e-05,56.332178707776784
150,2.083729e-05,56.08655624593681
151,2.0935584e-05,55.954678658494984
152,2.0506975e-05,55.78075571136683
153,2.1017002e-05,55.46414231502828
154,2.100862e-05,55.288322219072434
155,2.0931324e-05,55.0676541492168
156,2.1341004e-05,54.78898341811029
157,2.1189784e-05,54.58176113121102
158,2.1255139e-05,54.387923837838834
159,2.1038404e-05,54.1730837885095
160,2.0869848e-05,53.963112081296465
161,2.047925e-05,53.778367848727555
162,2.0539926e-05,53.55649052225719
163,2.0277279e-05,53.352454634542795
164,2.006464e-05,53.21475638576808
165,1.9859484e-05,53.05765159102802
166,1.958892e-05,52.96857660833784
167,1.9013163e-05,52.87978483082243
168,1.8799828e-05,52.7694107954063
169,1.8606239e-05,52.60707147650155
170,1.8696752e-05,52.442906948594285
171,1.799498e-05,52.432080161658654
172,1.7529546e-05,52.351311687961314
173,1.7143475e-05,52.242470275762756
174,1.6831955e-05,52.12904564532985
175,1.636442e-05,52.146961576523665
176,1.5650085e-05,52.08980244841853
177,1.535435e-05,52.05291918333434
178,1.448108e-05,52.05979927063164
179,1.435293e-05,51.97103593195812
180,1.3613637e-05,51.96510872649639
181,1.35416485e-05,51.84622482370409
182,1.3193722e-05,51.75676579757905
183,1.2341069e-05,51.86974662743954
184,1.2270844e-05,51.67821134672452
185,1.1843859e-05,51.721859502284644
186,1.1609889e-05,51.61956891521267
187,1.0880601e-05,51.81445068509586
188,1.07329e-05,51.663986763520185
189,1.031764e-05,51.729843728686575
190,1.0035523e-05,51.6540570705496
191,9.488221e-06,51.85059345997156
192,9.276737e-06,51.769272359456686
193,8.991738e-06,51.81235621426711
194,8.76875e-06,51.776515742915066
195,8.033703e-06,51.98637614380594
196,7.862115e-06,51.972764111981846
197,7.6352335e-06,52.0383512755962
198,7.487084e-06,51.97743031379977
199,6.9593975e-06,52.047752324086986
200,6.9015273e-06,52.06486047619654
201,6.6051925e-06,52.05402631112853
202,6.651959e-06,51.782850209172395
203,6.363472e-06,51.717935255412
204,6.100876e-06,51.905483283453435
205,5.9650265e-06,51.69326361263202
206,5.8177234e-06,51.59836429294049
207,5.859016e-06,51.509376887587514
208,5.51051e-06,51.516514829327
209,5.362767e-06,51.56348839549991
210,5.211395e-06,51.43196169297664
211,5.1083316e-06,51.28119431996697
212,5.1004336e-06,51.16080450276926
213,4.788608e-06,51.22845991678213
214,4.632798e-06,51.16726289904481
215,4.6602913e-06,50.972720072238936
216,4.6953533e-06,50.89627854820256
217,4.454936e-06,50.825833026248695
218,4.4384947e-06,50.78504045139913
219,4.3269515e-06,50.67705049075687
220,4.017864e-06,50.63801105054854
221,4.0042296e-06,50.50513806881853
222,3.959673e-06,50.40145421622157
223,4.026509e-06,50.12854263135778
224,3.545142e-06,nan
225,3.5744608e-06,nan
226,3.574027e-06,nan
227,3.4278664e-06,nan
228,3.3917088e-06,nan
229,3.2388098e-06,nan
230,3.3512104e-06,nan
231,3.1465506e-06,nan
232,3.2052478e-06,nan
233,3.262574e-06,nan
234,3.3014567e-06,nan
235,3.1770132e-06,nan
236,3.2289238e-06,nan
237,3.0581407e-06,nan
238,3.154236e-06,nan
239,3.2652345e-06,nan
240,3.1226166e-06,nan
241,3.0657363e-06,nan
242,3.1820516e-06,nan
243,3.175455e-06,nan
244,3.5017283e-06,nan
245,3.6435479e-06,nan
246,3.3571707e-06,nan
247,3.231462e-06,nan
248,3.1452585e-06,nan
249,3.132708e-06,nan
250,3.4318225e-06,nan
251,3.3125305e-06,nan
252,3.3262784e-06,nan
253,3.5335906e-06,nan
254,3.6125123e-06,nan
255,3.6027566e-06,nan
256,3.600476e-06,nan
257,3.6387253e-06,nan
258,4.0504933e-06,46.952369790593565
259,4.1568073e-06,47.04738578862637
260,4.212036e-06,46.998379589552954
261,4.01863e-06,47.11361497086469
262,4.257647e-06,46.962189451830625
263,4.463285e-06,46.84428306618785
264,4.408826e-06,47.04646812003106
265,4.7052617e-06,46.94715535693564
266,4.789456e-06,47.05749919247885
267,4.9717432e-06,46.929943346320506
268,5.065556e-06,47.023698746807725
269,5.4719676e-06,46.97704678522844
270,5.668849e-06,47.03913440379034
271,5.8211167e-06,47.0981657093205
272,5.998747e-06,47.28990569075634
273,6.373501e-06,47.34372279810157
274,6.659508e-06,47.4297327824678
275,6.857977e-06,47.611428534582465
276,7.036883e-06,47.78336638253683
277,7.327097e-06,47.943119101163596
278,7.813542e-06,48.07716804997925
279,8.150819e-06,48.32028590936836
280,8.448693e-06,48.585240200278776
281,8.703635e-06,48.94988163175495
282,9.10403e-06,49.2870675010667
283,9.551184e-06,49.67975985604701
284,9.983971e-06,50.0089955360927
285,1.0651672e-05,50.39172129438696
286,1.1023615e-05,50.85851446548945
287,1.1468251e-05,51.34311346144188
288,1.1787488e-05,51.87631662650804
289,1.22154015e-05,52.419925671396
290,1.2950219e-05,52.8786713270587
291,1.3215585e-05,53.496428890302845
292,1.3816333e-05,54.02383009384546
293,1.4401298e-05,54.602780601596834
294,1.52558305e-05,55.13176160844705
295,1.5972642e-05,55.69936524421338
296,1.6850066e-05,56.235406756888736
297,1.7561913e-05,56.82470867656123
298,1.8637087e-05,57.37587613262499
299,1.9842333e-05,57.87498926921093
300,2.0183552e-05,58.608614688431274
301,2.1236008e-05,59.13129365821132
302,2.209034e-05,59.73044524259375
303,2.174833e-05,60.56889817860117
304,2.2571234e-05,61.10885173993036
305,2.2342594e-05,61.867797264047354
306,2.2060534e-05,62.56965369796937
307,2.2668493e-05,63.10473958253194
308,2.2339582e-05,63.71863366131222
309,2.1161819e-05,64.48895387358098
310,2.120526e-05,65.05640074935431
311,2.050953e-05,65.63429479547602
312,2.0484813e-05,65.98885556766179
313,1.8804321e-05,66.53357981568742
314,1.8620167e-05,67.1210706650792
315,1.8577151e-05,67.4311558652313
316,1.8921579e-05,67.75916720314443
317,1.7555387e-05,68.08350491899871
318,1.6490143e-05,68.43234295421132
319,1.8109293e-05,68.46864078637596
320,1.777219e-05,68.56769416509573
321,1.6950433e-05,68.62803753770714
322,1.7550417e-05,68.37689566196472
323,1.84245e-05,68.15409297549519
324,1.83176e-05,68.10311851582323
325,1.7321565e-05,68.1630646524102
326,1.7869608e-05,67.844561686181
327,1.7861255e-05,67.67945808931219
328,1.8893485e-05,67.45194625088708
329,1.84332e-05,67.23407988574239
330,1.9366613e-05,66.74131819971386
331,1.9414105e-05,66.34337085214887
332,1.9929254e-05,65.7516946248845
333,2.0652587e-05,65.25680951016824
334,2.0615598e-05,64.71816760733185
335,2.0593885e-05,64.16124456787313
336,2.0422296e-05,63.61107424876677
337,2.0518417e-05,62.953033046858366
338,1.9750674e-05,62.420003760862635
339,1.9750552e-05,61.74041683842515
340,1.9294197e-05,61.10441863644524
341,1.9376324e-05,60.35007322779712
342,1.944312e-05,59.571156561626275
343,1.8462253e-05,58.95744094886454
344,1.8254841e-05,58.21325699430485
345,1.750044e-05,57.58034549718721
346,1.7020006e-05,56.87902677347494
347,1.6637023e-05,56.183210835930446
348,1.5720492e-05,55.596495885092466
349,1.51406175e-05,54.911616055637886
350,1.45021195e-05,54.29571286249846
351,1.3936664e-05,53.65291936149469
352,1.3667392e-05,52.97560087675702
353,1.3227517e-05,52.39744011540684
354,1.2733372e-05,51.83188156980698
355,1.2002211e-05,51.36458293815488
356,1.1432286e-05,50.900896504430555
357,1.1010456e-05,50.39037867120215
358,1.0563276e-05,49.945120352116035
359,1.0198408e-05,49.48116251100853
