Progress,RMS,StR
0,4.0760438e-06,53.254427724812246
1,3.9347883e-06,52.935982085750936
2,3.8699013e-06,52.411773591542634
3,3.6390104e-06,52.050984228797724
4,3.5935452e-06,51.8754965380453
5,3.4187372e-06,51.707652352127795
6,3.2470405e-06,51.530810700576104
7,3.147656e-06,51.320854942055846
8,3.028652e-06,51.00912109027473
9,2.8974962e-06,51.09260361709768
10,2.8622999e-06,50.75833322920771
11,2.9177136e-06,50.42146116901367
12,2.7125764e-06,50.53702373726762
13,2.6827436e-06,50.30950846729341
14,2.7434153e-06,50.11389328025029
15,2.6276714e-06,50.06612801498255
16,2.607015e-06,50.04242109103202
17,2.5780516e-06,49.83211931210225
18,2.5478223e-06,49.73628560938644
19,2.4798474e-06,49.59029891398755
20,2.4245294e-06,49.754286000813615
21,2.2842833e-06,49.80953005281431
22,2.265867e-06,nan
23,2.3048367e-06,nan
24,2.2216175e-06,nan
25,2.153359e-06,nan
26,2.1574888e-06,nan
27,2.284067e-06,nan
28,2.2583492e-06,nan
29,2.2988388e-06,nan
30,2.3161676e-06,nan
31,2.3448765e-06,nan
32,2.3995156e-06,nan
33,2.4216722e-06,nan
34,2.4012686e-06,nan
35,2.2542047e-06,nan
36,2.2653742e-06,nan
37,2.336353e-06,nan
38,2.4119274e-06,nan
39,2.4598878e-06,nan
40,2.434322e-06,nan
41,2.4222206e-06,nan
42,2.5720344e-06,nan
43,2.4997423e-06,nan
44,2.439404e-06,nan
45,2.5552708e-06,nan
46,2.6072519e-06,nan
47,2.5508998e-06,nan
48,2.5014717e-06,nan
49,2.562373e-06,nan
50,2.7035278e-06,nan
51,2.628208e-06,nan
52,2.662693e-06,nan
53,2.900575e-06,nan
54,2.6766531e-06,nan
55,2.746583e-06,nan
56,2.8348993e-06,nan
57,2.7012748e-06,nan
58,3.267896e-06,51.59191607145418
59,3.3606314e-06,51.97149034483011
60,3.1935408e-06,52.126124377159606
61,3.2879882e-06,52.03217740118775
62,3.4359516e-06,52.07313719155276
63,3.5309047e-06,52.266252078502134
64,3.5148798e-06,52.40473413352176
65,3.6073995e-06,52.499971274629864
66,3.6738704e-06,52.56847353297069
67,3.7506907e-06,52.61441964230166
68,3.6599292e-06,52.73050587908507
69,3.798559e-06,52.86915218174191
70,3.8507496e-06,52.8608458743362
71,4.0081873e-06,52.84858350614939
72,3.9957026e-06,53.079303347715964
73,4.113423e-06,52.895988130729556
74,4.0756527e-06,53.28550257774252
75,4.2268307e-06,53.20083489052054
76,4.200086e-06,53.59377091122458
77,4.4082376e-06,53.39278085902287
78,4.4732255e-06,53.61510341472236
79,4.7224707e-06,53.60535794376651
80,4.6566006e-06,53.52101882079293
81,4.776969e-06,53.69446238423301
82,4.9156756e-06,53.842612549970625
83,4.8572033e-06,53.89927527430387
84,5.0932103e-06,53.79429967866271
85,5.017862e-06,54.08954105460188
86,5.124501e-06,54.35040340453511
87,5.227525e-06,54.26418565929222
88,5.554078e-06,54.28787513916659
89,5.4583293e-06,54.645250220368276
90,5.743758e-06,54.66087669243655
91,5.7504526e-06,54.796276725891396
92,5.845885e-06,54.93903627976764
93,5.999927e-06,54.765624613289425
94,6.0794064e-06,54.92134124452007
95,6.106173e-06,55.07187612843943
96,6.2365125e-06,55.19673753547757
97,6.3309944e-06,55.358276687977906
98,6.4601104e-06,55.44075950148907
99,6.6924513e-06,55.531762342642935
100,6.736192e-06,55.679096829341155
101,6.769614e-06,55.81696097639764
102,7.041826e-06,55.87574517021202
103,7.151102e-06,55.95147540188216
104,7.319554e-06,56.0268504431844
105,7.469535e-06,56.2518340195457
106,7.5970147e-06,56.49701811550344
107,7.718637e-06,56.626689530842256
108,8.032496e-06,56.543536127935816
109,8.060669e-06,56.82955421431714
110,8.355636e-06,56.9430743227276
111,8.423821e-06,57.05521483085966
112,8.477666e-06,57.25833968534374
113,8.624822e-06,57.49762811452744
114,8.655166e-06,57.77528676669868
115,8.81631e-06,57.92153455798874
116,8.883366e-06,58.07940213387022
117,8.834081e-06,58.376870357778124
118,9.05282e-06,58.539439140529836
119,9.112059e-06,58.63783681476722
120,9.169121e-06,58.84995683650051
121,9.308241e-06,58.93343658833791
122,9.4839515e-06,59.05408313389162
123,9.565806e-06,59.06793236954772
124,9.953108e-06,59.04658831960337
125,9.950109e-06,59.16124209177959
126,1.0050549e-05,59.44371861759799
127,1.0334042e-05,59.39892724954105
128,1.0719351e-05,59.345454807579436
129,1.1265901e-05,59.45755322461124
130,1.1760693e-05,59.555399917861806
131,1.2701296e-05,59.30247262723385
132,1.3087931e-05,59.350194656220026
133,1.3536018e-05,59.5807614048762
134,1.4427534e-05,59.35226503134893
135,1.4289606e-05,59.73055130642251
136,1.5808271e-05,59.09470302796879
137,1.5194517e-05,59.56307383638463
138,1.5877515e-05,59.705804447424796
139,1.560366e-05,59.518171682693804
140,1.5890444e-05,59.795616061439354
141,1.5164264e-05,59.90078424326743
142,1.4833008e-05,60.130057607100376
143,1.4851056e-05,59.96337363355492
144,1.4606846e-05,59.950996353556064
145,1.4931212e-05,59.76584995223849
146,1.4591423e-05,59.62225711206993
147,1.4297367e-05,59.60076033533761
148,1.4215293e-05,59.08272711433539
149,1.3305059e-05,59.48758053303056
150,1.3600879e-05,58.699463256908246
151,1.3129072e-05,59.004881016377276
152,1.2563941e-05,58.62145824406109
153,1.2458914e-05,58.79483256069165
154,1.1667248e-05,58.60420993433338
155,1.1534302e-05,58.660371571544985
156,1.0606364e-05,58.69787337374259
157,1.0611527e-05,58.4247709024251
158,9.895758e-06,58.52392032412496
159,9.694003e-06,58.30841444189471
160,9.492473e-06,58.27773682229505
161,9.4608695e-06,58.09716752832658
162,9.426863e-06,57.91878474207305
163,9.4408615e-06,57.737047268422685
164,9.406263e-06,57.51477109104735
165,9.2587115e-06,57.43968066426884
166,9.224531e-06,57.19674324446079
167,9.095972e-06,57.105112186431015
168,9.194778e-06,56.878819320373736
169,9.234685e-06,56.59178202674085
170,9.185677e-06,56.49438671341816
171,8.949585e-06,56.40588512548027
172,8.993441e-06,56.245030952470785
173,8.91776e-06,56.091507633207705
174,8.9827445e-06,55.91414347021174
175,8.8560655e-06,55.684462016122126
176,8.618082e-06,55.660994981567235
