Progress,RMS,StR
0,1.2797489e-05,67.32320676032822
1,1.2946803e-05,67.07896367584311
2,1.3086953e-05,66.73830289676351
3,1.31001725e-05,66.47573722715345
4,1.2885826e-05,66.35291983464376
5,1.2746076e-05,66.16660332901898
6,1.2312473e-05,66.11950207889205
7,1.2605012e-05,65.96320700229357
8,1.2769862e-05,65.66153657676682
9,1.2480198e-05,65.54503667011595
10,1.2223359e-05,65.4555636247915
11,1.2081906e-05,65.38488576062132
12,1.1985828e-05,65.2663353837388
13,1.2207024e-05,65.04164196382993
14,1.1704305e-05,64.99753673555256
15,1.1035824e-05,65.21259780326476
16,1.1200053e-05,64.93039541279668
17,1.0871186e-05,65.08773942841914
18,1.1019576e-05,64.83642479446657
19,1.0935018e-05,64.64610286397503
20,1.0751388e-05,64.39219519187033
21,1.0604018e-05,64.46769095833524
22,1.047784e-05,64.27877274396367
23,1.011057e-05,64.35370686061405
24,9.734934e-06,64.6961789004873
25,9.99299e-06,64.5390314827494
26,1.0925681e-05,64.11177376186333
27,9.719137e-06,64.47433929026208
28,9.666181e-06,64.32167490401491
29,9.5424575e-06,64.0857495623532
30,1.0031366e-05,64.13225855398463
31,8.946247e-06,64.35248835726361
32,9.492563e-06,64.13378124185755
33,9.355442e-06,63.8216915714364
34,9.36555e-06,64.29055187166975
35,1.0107163e-05,63.91418891267455
36,9.448254e-06,63.940907462829486
37,9.353046e-06,63.94083039515785
38,9.044443e-06,63.96918019387787
39,8.958904e-06,63.946460445921005
40,9.215911e-06,63.76927624703514
41,9.1583815e-06,63.906449550146505
42,9.1626725e-06,63.71468826714854
43,9.304458e-06,63.61566889866754
44,9.294344e-06,63.66279273482562
45,9.46443e-06,63.44169246269984
46,9.258104e-06,63.512648791983096
47,9.314784e-06,63.52338946857917
48,9.359662e-06,63.55244072813414
49,9.465233e-06,63.26316620963183
50,9.497632e-06,63.2521332416778
51,9.702118e-06,63.12427694006154
52,9.504068e-06,63.223913987311676
53,9.941185e-06,62.94907945915569
54,1.0024785e-05,62.92596433019181
55,1.0135104e-05,62.74482778628944
56,1.020396e-05,62.827759412434915
57,1.0264824e-05,62.76761391893295
58,1.0319527e-05,62.70373698415411
59,1.0463596e-05,62.64025630807842
60,1.0552634e-05,62.438271762203215
61,1.0320644e-05,62.6679041299191
62,1.0411532e-05,62.6150111841019
63,1.090368e-05,62.35284789827691
64,1.0603456e-05,62.49863058828705
65,1.0459531e-05,62.646931799994675
66,1.0769141e-05,62.5421156133453
67,1.0790347e-05,62.42790596193537
68,1.0720186e-05,62.44306427693711
69,1.0721411e-05,62.466480186530006
70,1.1150063e-05,62.34069881973945
71,1.1388199e-05,62.134236233225515
72,1.1719946e-05,61.91439904533163
73,1.1863619e-05,61.906566303808866
74,1.1948668e-05,61.91516623166393
75,1.2463981e-05,61.61656615778914
76,1.2327259e-05,61.711152638267976
77,1.2504286e-05,61.67189360718838
78,1.2695394e-05,61.62418130011538
79,1.2992615e-05,61.61334049384109
80,1.31488605e-05,61.466574632353705
81,1.3429341e-05,61.47834359927546
82,1.3730082e-05,61.3757575250039
83,1.3898301e-05,61.37716793856871
84,1.40902075e-05,61.39566370731146
85,1.4535698e-05,61.21265720655866
86,1.4556387e-05,61.37147602477753
87,1.4341113e-05,61.520245098822414
88,1.4824632e-05,61.39819411776855
