Progress,RMS,StR
0,9.550845e-06,49.15353741449199
1,9.200593e-06,48.772181167301596
2,8.601542e-06,48.52939188630401
3,8.4047015e-06,48.15100665205389
4,8.087495e-06,47.9069248128942
5,7.822549e-06,47.65376334353352
6,7.2883486e-06,47.494076926752626
7,7.1912073e-06,47.20983979084505
8,6.880921e-06,47.04881019776602
9,6.6636253e-06,46.95523649577581
10,6.5428926e-06,46.70246511850187
11,6.1878127e-06,46.627424817084176
12,6.008675e-06,46.5500264250778
13,5.696313e-06,46.57374496140932
14,5.588116e-06,46.40325777162942
15,5.4256398e-06,46.29057823913959
16,5.235461e-06,46.34611926865102
17,5.310936e-06,46.14298282733331
18,4.9700525e-06,46.145102903392356
19,4.818454e-06,46.171713443025325
20,4.585809e-06,46.40630040731356
21,4.4470657e-06,46.38016873641239
22,4.3859104e-06,nan
23,4.0910704e-06,nan
24,4.1730195e-06,nan
25,4.201118e-06,nan
26,4.5737183e-06,nan
27,4.1298035e-06,nan
28,3.9756055e-06,nan
29,3.923168e-06,nan
30,4.2337674e-06,nan
31,3.7760565e-06,nan
32,4.023266e-06,nan
33,3.803887e-06,nan
34,4.0416576e-06,nan
35,4.130788e-06,nan
36,4.2615698e-06,nan
37,4.0726068e-06,nan
38,3.871427e-06,nan
39,3.857562e-06,nan
40,3.9712436e-06,nan
41,3.9650367e-06,nan
42,3.943374e-06,nan
43,3.8893836e-06,nan
44,3.995086e-06,nan
45,4.1073267e-06,nan
46,4.0842e-06,nan
47,4.0328123e-06,nan
48,4.1293783e-06,nan
49,4.035675e-06,nan
50,4.06228e-06,nan
51,4.008192e-06,nan
52,4.1573053e-06,nan
53,4.3560376e-06,nan
54,4.217147e-06,nan
55,4.322011e-06,nan
56,4.3961245e-06,nan
57,4.43852e-06,nan
58,4.6586115e-06,49.14267334669101
59,4.812378e-06,49.14008698392084
60,4.824306e-06,49.317745093990546
61,4.9871187e-06,49.29155167626334
62,5.1638904e-06,49.454332772012194
63,5.1033126e-06,49.66567220546305
64,5.3680287e-06,49.70846449400138
65,5.3081544e-06,49.86629895491206
66,5.4755697e-06,49.881053529729684
67,5.603329e-06,49.94634367017536
68,5.6461645e-06,49.960474910783006
69,5.5663772e-06,50.1166369623367
70,5.76506e-06,50.18274386925459
71,5.796901e-06,50.30742339452563
72,5.7972975e-06,50.40487836135015
73,6.0017715e-06,50.38565727056303
74,6.1106634e-06,50.452526484612136
75,6.080923e-06,50.60655279221851
76,6.1583596e-06,50.7619313348987
77,6.420541e-06,50.716938282757454
78,6.619095e-06,50.75097643344207
79,6.9869207e-06,50.730832198902164
80,7.0856136e-06,50.71856708543091
81,7.23248e-06,50.769736105105764
82,7.4530694e-06,50.80114606178758
83,7.711057e-06,50.7844999401896
84,7.961415e-06,50.83364312059685
85,8.181477e-06,50.86450562816994
86,8.467573e-06,50.826874448866675
87,8.605738e-06,50.99895362408116
88,8.873122e-06,51.035477876798474
89,8.97689e-06,51.00261119628065
90,9.172224e-06,51.16935564784857
91,9.430309e-06,51.30020688698501
92,9.462815e-06,51.4156552431393
93,9.9835825e-06,51.3513379665929
94,1.0132814e-05,51.514959167857164
95,1.0343975e-05,51.58249861840983
96,1.0662916e-05,51.612496121906055
97,1.0924887e-05,51.66971566723133
98,1.1219788e-05,51.767415756430196
99,1.1380837e-05,51.93559610412915
100,1.1567529e-05,52.11561856951492
101,1.1746973e-05,52.271819459264506
102,1.1959909e-05,52.361407419113604
103,1.2232365e-05,52.446864010733236
104,1.2393783e-05,52.62444475135882
105,1.2699141e-05,52.821115736938694
106,1.2797155e-05,53.02778545046645
107,1.3051414e-05,53.18089670457843
108,1.3237271e-05,53.34946322636589
109,1.3471516e-05,53.549248884382415
110,1.3380202e-05,53.81402554107224
111,1.3508699e-05,53.940060584148625
112,1.37223715e-05,54.1496848383942
113,1.4050973e-05,54.22410479744186
114,1.4152926e-05,54.43570471464404
115,1.4438533e-05,54.61241047105262
116,1.4651295e-05,54.728035096577905
117,1.4701686e-05,54.96478320594471
118,1.49426605e-05,55.04391097812008
119,1.5209084e-05,55.16166542461818
120,1.5580581e-05,55.251350577162796
121,1.57536e-05,55.380562069930875
122,1.6121083e-05,55.50960791975734
123,1.6260119e-05,55.59379373428725
124,1.6811862e-05,55.580987631610824
125,1.6934531e-05,55.683960076484055
126,1.7108234e-05,55.82717151818212
127,1.735525e-05,55.98823411869044
128,1.7893974e-05,56.03675449684597
129,1.839212e-05,56.16029215682177
130,1.9549398e-05,56.06637201746905
131,2.032178e-05,56.130411050400184
132,2.1325555e-05,56.09207571363713
133,2.2234395e-05,56.00220216913258
134,2.2980928e-05,56.11768446656271
135,2.3402861e-05,56.23346032658215
136,2.4627408e-05,56.03385436238844
137,2.496296e-05,56.054899134637985
138,2.4864494e-05,56.32816513833957
139,2.457591e-05,56.42995827098439
140,2.435234e-05,56.50611422412348
141,2.3405375e-05,56.8824952268683
142,2.2825372e-05,56.85441978118366
143,2.209193e-05,56.94412680792049
144,2.178689e-05,56.96939449340669
145,2.137395e-05,56.91861389823273
146,2.1035847e-05,56.89764189067685
147,2.0899832e-05,56.73129023319902
148,2.0548827e-05,56.62380893569832
149,2.0328209e-05,56.45278503958146
150,2.0041934e-05,56.3349243314024
151,1.9835059e-05,56.13361159103938
152,1.9563853e-05,55.973811725154675
