Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
16,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10233820,0.187429,2883,3549,2297,210456,7966.663012
16,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,18997617,0.347935,2883,6589,3523,342861,11749.505394
16,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,216830453,3.971181,2883,75210,48754,7559780,163109.311092
16,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3319666,0.060799,2883,1151,886,38996,1001.861222
16,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,56415273,1.033228,2883,19568,11834,7205518,137634.009148
16,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,15140017,0.277285,2883,5251,3298,436438,12156.461431
16,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,13820334,0.253115,2883,4793,3351,101394,3528.702784
16,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,17654420,0.323335,2883,6123,4535,393077,10575.806698
16,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,27372129,0.501312,2883,9494,1269,221402,10703.320342
16,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,6620773,0.121257,2883,2296,1420,533546,12133.107136
16,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,6532113,0.119634,2883,2265,1716,63164,2195.233302
16,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,3036488,0.055612,2883,1053,502,49066,1248.566792
16,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,300053924,5.495393,2883,104076,9270,260460373,4850639.354541
32,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10329283,0.172172,2982,3463,2125,306947,10335.108282
32,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,19368460,0.322840,2982,6495,3585,355725,12041.288266
32,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,198213471,3.303886,2982,66469,49105,1494233,42249.717610
32,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,27314348,0.455284,2982,9159,1267,164386,8962.290934
32,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,45276134,0.754677,2982,15183,11740,434721,15002.215193
32,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,13540456,0.225697,2982,4540,3049,367298,9062.197069
32,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,13469173,0.224509,2982,4516,3285,54112,1365.975581
32,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,17977527,0.299655,2982,6028,4723,261011,6918.354317
32,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,5758557,0.095985,2982,1931,1398,183153,5174.375256
32,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,7120779,0.118691,2982,2387,1767,256443,6440.927375
32,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3580020,0.059673,2982,1200,912,93873,1751.198960
32,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,3056095,0.050940,2982,1024,529,32427,910.468528
32,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,327354697,5.456454,2982,109776,10126,287373573,5262266.366522
48,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,9589049,0.161481,2531,3788,2149,398706,11926.494671
48,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,18630257,0.313735,2531,7360,3832,359113,12814.960869
48,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,189993716,3.199512,2531,75066,51254,3161535,96668.267321
48,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,24797364,0.417590,2531,9797,1290,138684,9800.701707
48,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,42735309,0.719667,2531,16884,11832,1114457,30258.495101
48,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,11903066,0.200449,2531,4702,2882,251239,7736.434954
48,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,12914763,0.217486,2531,5102,3675,198579,4994.029181
48,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,15598754,0.262685,2531,6163,4739,383966,8855.812572
48,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,5223970,0.087972,2531,2063,1376,283193,7877.131431
48,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,5946091,0.100133,2531,2349,1759,195741,4340.749653
48,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,2958051,0.049814,2531,1168,862,14355,359.794248
48,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,2903134,0.048889,2531,1147,542,79050,1661.305673
48,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,276114586,4.649796,2531,109093,10012,238162431,4733705.292290
64,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,8618690,0.147309,1849,4661,2279,340641,15392.199129
64,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,15675398,0.267921,1849,8477,4300,301929,14443.194423
64,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,169464991,2.896461,1849,91652,51020,1947190,127386.429514
64,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,19056716,0.325713,1849,10306,1476,166662,10687.635185
64,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,37908958,0.647932,1849,20502,11842,911209,46303.380206
64,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,10767124,0.184029,1849,5823,3181,241847,12357.200828
64,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,10287954,0.175840,1849,5564,3581,599229,14414.017688
64,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,13850358,0.236727,1849,7490,4735,1083628,30306.833107
64,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,3973439,0.067913,1849,2148,1451,191165,6757.158697
64,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,5465058,0.093408,1849,2955,1771,418604,14470.664503
64,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,2544898,0.043497,1849,1376,865,380063,8853.847821
64,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,2401645,0.041048,1849,1298,600,71554,2161.904746
64,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,305242531,5.217143,1849,165085,9927,276440510,6428502.342734
80,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,7258898,0.125254,1797,4039,2368,277966,11657.919322
80,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,15987669,0.275872,1797,8896,4111,598699,20396.479162
80,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,174863401,3.017316,1797,97308,52850,3482820,165717.104409
80,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,19651131,0.339086,1797,10935,1405,333234,14850.020771
