Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
16,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10692379,0.192725,2994,3571,2199,247612,9316.150082
16,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,23071138,0.415846,2994,7705,3776,2632540,50439.792190
16,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,234023292,4.218155,2994,78164,48622,7453806,180924.276898
16,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,27413891,0.494122,2994,9156,1236,110734,8139.668632
16,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,56773968,1.023323,2994,18962,11729,6925383,129745.866711
16,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,14626158,0.263629,2994,4885,3005,325058,10316.785284
16,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,15036149,0.271019,2994,5022,3572,316978,7619.892055
16,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,19088985,0.344070,2994,6375,4509,704072,16031.265497
16,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,6334876,0.114183,2994,2115,1439,201375,6152.664450
16,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,7215838,0.130062,2994,2410,1661,294771,7143.246814
16,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3613269,0.065127,2994,1206,850,227926,4222.864619
16,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,3207439,0.057813,2994,1071,516,50923,1287.723333
16,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,331350265,5.972426,2994,110671,9839,286226812,5230728.295023
32,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,7393505,0.130804,2832,2610,1429,892850,19167.721262
32,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,220893703,3.907992,2832,77999,50142,1777521,67455.588586
32,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,14002943,0.247736,2832,4944,3043,236845,7843.596631
32,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,48930960,0.865673,2832,17277,12077,933051,27143.046637
32,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,7159611,0.126666,2832,2528,1782,195965,5714.581846
32,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,18436364,0.326171,2832,6510,4579,372817,9696.264535
32,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3562473,0.063026,2832,1257,856,90831,2425.169537
32,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,20974493,0.371075,2832,7406,3826,337755,13111.411920
32,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10420926,0.184364,2832,3679,2150,229360,9932.626589
32,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,15038487,0.266057,2832,5310,3666,145550,5445.497247
32,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,3362817,0.059494,2832,1187,575,30570,1215.588462
32,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,27428559,0.485259,2832,9685,1382,249027,10148.660765
32,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,309594641,5.477265,2832,109320,9630,265979571,4997783.292323
48,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10710947,0.189119,2822,3795,2266,228111,9795.349810
48,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,19440797,0.343259,2822,6889,3612,272689,10828.544034
48,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,203793941,3.598311,2822,72216,49389,1666447,46528.894404
48,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,27656802,0.488326,2822,9800,1418,211024,11069.410861
48,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,45531642,0.803935,2822,16134,11942,535367,15843.303866
48,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,14023023,0.247599,2822,4969,2847,343367,10219.718353
48,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,14323687,0.252908,2822,5075,3636,180700,5185.002875
48,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,17627785,0.311247,2822,6246,4566,204287,6663.176986
48,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,5887297,0.103950,2822,2086,1411,186416,6532.132711
48,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,6938756,0.122515,2822,2458,1765,200004,5570.229928
48,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3373755,0.059569,2822,1195,927,21154,584.764610
48,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,2997305,0.052922,2822,1062,593,8791,390.697413
48,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,310059880,5.474608,2822,109872,9981,270465164,5091087.930055
64,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,5468824,0.097676,2587,2113,1415,239266,6845.224378
64,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,198610576,3.547304,2587,76772,50188,3936269,101949.566213
64,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,13203501,0.235822,2587,5103,3119,227209,8641.979640
64,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,43878970,0.783705,2587,16961,12268,648179,21028.296189
64,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,6298330,0.112492,2587,2434,1781,198983,4685.240721
64,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,16672702,0.297784,2587,6444,4746,399600,10085.814658
64,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,3343116,0.059710,2587,1292,877,158490,3291.095298
64,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,19449352,0.347377,2587,7518,3929,374016,15336.583402
64,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10522173,0.187932,2587,4067,2255,316483,12033.217911
64,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,13698299,0.244660,2587,5295,3747,182693,5722.511788
64,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,2797848,0.049971,2587,1081,570,39108,1116.998845
64,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,25589454,0.457043,2587,9891,1344,205005,10112.794936
64,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,305236457,5.451706,2587,117988,10246,266739407,5244031.100251
80,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,10169998,0.178106,2510,4051,2309,674292,16687.502706
80,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,19251510,0.337149,2510,7669,4179,284305,12464.031295
80,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,192735160,3.375346,2510,76786,50856,2078186,70109.145251
80,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,25071202,0.439069,2510,9988,1352,181606,10009.905834
80,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,44353719,0.776761,2510,17670,12363,691629,27705.078862
80,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,13267466,0.232351,2510,5285,3388,343016,11498.631840
80,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,12879470,0.225556,2510,5131,3636,119633,3787.798835
80,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,15895764,0.278380,2510,6332,4642,391222,11155.833787
