Samples,RMS,StR
1,0.0018721352,13.097939206001774
2,0.0014530498,17.37396548254893
3,0.0009444977,22.02438728073252
4,0.00044569094,23.77333220795199
5,0.0007631674,20.497012604337034
6,0.0003147143,26.127462540397662
7,0.0003840292,24.90686667096567
8,0.0003338094,26.12132292085637
9,0.00027290825,26.703386359365734
10,0.00021877627,27.593752078361035
11,0.00021839084,27.314901628952697
12,0.00019174763,27.86250250348289
13,0.00020145788,27.610064757213625
14,0.00017387075,28.32739485926426
15,0.00018423963,28.027436760061953
16,0.00016915133,28.44722907247625
17,0.00017740898,28.179439172051843
18,0.00016196368,28.582400688510784
19,0.00016809086,28.38271992324716
20,0.00012943178,29.585748854476442
21,0.00015645025,28.685171689358768
22,0.00010197878,31.192375971524147
23,0.00011952198,29.90924675190085
24,8.4652944e-05,32.02349833783552
25,9.666518e-05,30.86027093472465
26,8.5336935e-05,31.91417702112695
27,8.80819e-05,31.262009574164807
28,9.971179e-05,30.965628634392452
29,8.295697e-05,31.543775518819285
30,0.000101647514,30.76746017038986
31,8.4341154e-05,31.452664305787813
32,9.9009754e-05,30.79434511625239
33,8.8325934e-05,31.22941825991683
34,0.00011019628,30.354065351532835
35,8.586538e-05,31.32553670676971
36,0.00010539205,30.521078170120056
37,9.7536795e-05,30.74068627338383
38,9.470613e-05,30.966312473160706
39,9.962606e-05,30.634043362242423
40,8.3846004e-05,31.48584566118787
41,8.101718e-05,31.533073850887305
42,7.9192534e-05,31.69364592802191
43,6.4394066e-05,32.56263134347007
44,7.073473e-05,32.1769413014062
45,6.061117e-05,32.91193656459028
46,6.096135e-05,32.84210832790505
47,6.172795e-05,32.9091634589538
48,5.2027328e-05,33.583858977526084
49,5.865142e-05,33.224186049657575
50,4.7355472e-05,34.01806527697551
51,5.5412936e-05,33.66258302971489
52,4.292953e-05,34.42702989997485
53,5.2574745e-05,33.93545372133365
54,3.99779e-05,34.7221270952489
55,5.110008e-05,33.94874341926045
56,3.781231e-05,34.98137957434042
57,4.8267455e-05,34.06637693954379
58,3.4065255e-05,35.45370233749523
59,4.5731314e-05,34.20720665752595
60,2.9633384e-05,36.072562344431056
61,4.152127e-05,34.550131705301574
62,2.889925e-05,36.21071753303544
63,3.7679314e-05,34.930529979405804
64,2.7916592e-05,36.429314246391826
65,3.554503e-05,35.17388789812952
66,2.6942085e-05,36.64872684910232
67,4.143654e-05,34.59133676059389
68,2.4677152e-05,37.14321813041907
69,4.7123136e-05,34.09230882544016
70,2.577665e-05,37.10768293238234
71,4.5392753e-05,34.21340539184467
72,2.663085e-05,37.06461731119327
73,4.3271604e-05,34.37653890035326
74,2.6366592e-05,37.19351659945936
75,4.0502695e-05,34.63674806749181
76,2.5423069e-05,37.398387363904604
77,3.761023e-05,34.94688514844975
78,2.53896e-05,37.53333493373491
79,3.522114e-05,35.22353555023619
80,2.4712057e-05,37.72374623537164
81,3.3736465e-05,35.407746337878606
82,2.2968108e-05,37.820892912907446
83,3.3081746e-05,35.48286771603837
84,2.4425724e-05,37.46409045053893
85,3.1425963e-05,35.695727514914736
86,2.4854819e-05,37.27928316280166
87,2.93154e-05,35.98636970406997
88,2.3188031e-05,37.504667592889895
89,2.698772e-05,36.345301579774976
90,2.0071075e-05,38.09527120880019
91,2.5164234e-05,36.653366153222024
92,1.6903547e-05,38.79621650823241
93,2.3917048e-05,36.87613610510192
94,1.4082097e-05,39.57496292582379
95,2.3297798e-05,36.98937394928694
96,1.2198092e-05,40.20189332678782
97,2.3864457e-05,36.878212369439865
98,1.13361775e-05,40.51116449847672
99,2.4951953e-05,36.69025494635174
100,1.1867611e-05,40.37113680195554
101,2.6250831e-05,36.49038384121471
102,1.26681125e-05,40.1335122879378
103,2.7195716e-05,36.36066419368231
104,1.3145978e-05,39.98892587314001
105,2.6871354e-05,36.39649773028103
106,1.2715061e-05,40.05614610719405
107,2.6186608e-05,36.496334336759126
108,1.1982879e-05,40.256496328585065
109,2.5251555e-05,36.64480213859556
110,1.1557498e-05,40.33605687724045
111,2.4033136e-05,36.85234177992831
112,1.049386e-05,40.74975402193072
113,2.2737499e-05,37.0908706881303
114,1.0037628e-05,40.91287251707342
115,2.196924e-05,37.24025072638939
116,1.0592841e-05,40.731587901163486
117,2.1756749e-05,37.27840150173135
118,1.1018782e-05,40.6250505545229
119,2.1080554e-05,37.41622629119505
120,1.2381646e-05,40.189345419378625
121,2.0213974e-05,37.61053853380639
122,1.26371315e-05,40.10419508704808
123,1.9072655e-05,37.888048235997005
124,1.16836645e-05,40.44612122793269
125,1.8020657e-05,38.15825925561028
126,1.0439985e-05,40.93929323992122
127,1.7469129e-05,38.30017205979492
128,9.514571e-06,41.316879911441475
129,1.7094275e-05,38.392794202996996
130,8.81783e-06,41.59419368248535
131,1.6856058e-05,38.45493061718321
132,8.7184135e-06,41.55615839889538
133,1.6739012e-05,38.479103332733764
134,9.328801e-06,41.230919795827106
135,1.6859853e-05,38.43326087709431
136,1.0225353e-05,40.86229273068575
137,1.7026663e-05,38.37503204338724
138,1.0870145e-05,40.60767771036527
139,1.6962384e-05,38.382371896307845
140,1.0484507e-05,40.74597356018835
141,1.6475891e-05,38.516571132242156
142,9.429267e-06,41.134944399009605
143,1.5808388e-05,38.70991769064589
144,8.472131e-06,41.531896216894836
145,1.5403142e-05,38.840349463964905
146,7.797128e-06,41.83397274215742
147,1.5002584e-05,38.96252370798
148,7.3193137e-06,42.086520132838636
149,1.4569111e-05,39.09274765679211
150,7.4739637e-06,41.98075925286104
151,1.4212143e-05,39.19629846703869
152,7.115416e-06,42.20807281084803
153,1.3870359e-05,39.304305294593874
154,6.787465e-06,42.42575403143717
155,1.3820725e-05,39.30205942128374
156,6.5331624e-06,42.63628234611569
157,1.375415e-05,39.3142951102184
158,6.195462e-06,42.85894448583535
159,1.3864611e-05,39.269679252839694
160,5.8240093e-06,43.145744034183984
161,1.3665878e-05,39.33469974570957
162,5.4753823e-06,43.442206670409185
163,1.3302485e-05,39.45160241260896
164,5.4409593e-06,43.46037051942551
165,1.3130011e-05,39.506884218412054
166,5.287259e-06,43.58718301455472
167,1.3090714e-05,39.5060624073652
168,5.338672e-06,43.55564599607973
169,1.2954718e-05,39.55305343541539
170,5.3816366e-06,43.53266481058898
171,1.296937e-05,39.54211841407257
172,5.2112905e-06,43.6787755391485
173,1.2765003e-05,39.61018491532523
174,5.100716e-06,43.72766599081664
175,1.22884585e-05,39.79146104845116
176,5.045138e-06,43.82317968798346
177,1.16531155e-05,40.03578750833313
178,4.8630354e-06,44.03976642977326
179,1.1314948e-05,40.17163713072213
180,4.882118e-06,44.10262486584598
181,1.1127148e-05,40.25390036880786
182,4.923786e-06,44.01548429386045
183,1.0861829e-05,40.37101256535428
184,5.0494064e-06,43.896532378883364
185,1.0550616e-05,40.511350593193285
186,4.9567884e-06,43.96220471379644
187,1.0379917e-05,40.58203576228539
188,4.8578495e-06,44.08057428100782
189,1.0304695e-05,40.610692601280896
190,4.819438e-06,44.138191953615646
191,1.0234874e-05,40.629993355391385
192,4.5003753e-06,44.46131797998805
193,1.024955e-05,40.62204223857955
194,4.0784303e-06,44.902660014670204
195,1.0275929e-05,40.60956063743695
196,3.9359566e-06,45.090880638685945
197,1.02865015e-05,40.59743755560919
198,3.8890985e-06,45.094279841496714
199,1.0203444e-05,40.62011965045237
200,3.8469325e-06,45.138699304013926
201,1.0077238e-05,40.68056482799601
202,3.751479e-06,45.17621014400746
203,9.985873e-06,40.728203092354256
204,3.614973e-06,45.312679006244316
205,9.800329e-06,40.81597431878976
206,3.4059422e-06,45.58253230036606
207,9.666282e-06,40.88627361656474
208,3.2933658e-06,45.71854740230279
209,9.459071e-06,40.975554485946674
210,3.2582875e-06,45.77006641781516
211,9.256343e-06,41.08978065048455
212,3.2183752e-06,45.851498337610266
213,8.992215e-06,41.23265387294359
214,3.125755e-06,46.00131032294602
215,8.866787e-06,41.30246575157809
216,3.0050771e-06,46.19148341270928
217,8.638744e-06,41.40801974740617
218,3.0458452e-06,46.13641202578215
219,8.469063e-06,41.51423287607425
220,3.1173238e-06,46.030401858618326
221,8.2019615e-06,41.660601176284125
222,2.9036273e-06,46.37071841747324
223,8.015075e-06,41.758527830667916
224,2.7737858e-06,46.54189996860164
225,7.9554475e-06,41.792701170881486
226,2.693868e-06,46.58138589198285
227,7.94386e-06,41.77622368326893
228,2.8313752e-06,46.31785351500757
229,7.990416e-06,41.74229589008363
230,2.8417392e-06,46.307828597100844
231,7.927512e-06,41.77239712621642
232,2.810074e-06,46.37293829398285
233,7.827247e-06,41.84901151617974
234,2.7576452e-06,46.47341416025341
235,7.723512e-06,41.90083834805118
236,2.585008e-06,46.84765229651806
237,7.707874e-06,41.910870127565246
238,2.5285672e-06,46.92065324930206
239,7.6892065e-06,41.90197700949451
240,2.5713282e-06,46.9409929258688
241,7.614646e-06,41.93295278964649
242,2.392096e-06,47.365648834743354
243,7.449314e-06,42.05235930728199
244,2.4171904e-06,47.27537652774464
245,7.3381743e-06,42.13901591841029
246,2.3834075e-06,47.507586338020005
247,7.2490316e-06,42.17599189760175
248,2.3580935e-06,47.78064595120536
249,7.312208e-06,42.120710324220724
250,2.0843727e-06,48.227426722203155
251,7.263021e-06,42.14487387701807
252,1.8662064e-06,48.79193106897952
253,7.272019e-06,42.11747332405294
254,1.5757765e-06,49.27680576359905
255,7.1518116e-06,42.2057553684239
