Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,71896064,1.245590,239,300820,276480,926720,78131.485419
1,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,5686720,0.098522,239,23793,22272,26592,1012.811013
1,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,110853120,1.920516,239,463820,452608,1096704,58233.235810
1,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,62493696,1.082695,239,261479,251904,325632,7910.867394
1,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,300104704,5.199276,239,1255668,1204224,2231296,131877.347792
1,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,694091648,12.025050,239,2904149,2785280,3826688,184712.444906
1,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,189240320,3.278565,239,791800,750592,1731584,117024.326574
1,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,24183808,0.418981,239,101187,94208,496640,26066.775900
1,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,158616544,2.748012,239,663667,624640,1294336,83201.532885
1,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,229662720,3.978878,239,960931,929792,1938432,107991.991709
2,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,76571648,1.330099,235,325836,291840,898048,58762.875054
2,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,5910752,0.102674,235,25152,21504,28672,1898.469595
