Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1563534,0.027825,226,6918,2895,312328,25935.357755
1,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,5354832,0.095296,226,23693,7001,2134947,142632.052363
1,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,29538091,0.525670,226,130699,67445,2628008,232614.364491
1,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2465350,0.043874,226,10908,1899,38386,8748.932381
1,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,6420274,0.114257,226,28408,14585,521613,52634.139396
1,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1853210,0.032980,226,8200,4232,276076,25251.044706
1,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1694779,0.030161,226,7499,4876,161578,10754.928877
1,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1857709,0.033060,226,8219,4973,194259,14181.213510
1,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1435864,0.025553,226,6353,1498,491333,36946.423603
1,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,788939,0.014040,226,3490,1847,190796,12766.406553
1,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,397019,0.007065,226,1756,983,46357,3601.462431
1,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,304166,0.005413,226,1345,796,8606,528.884629
1,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,234181682,4.167579,226,1036202,13510,229909536,15292095.589611
2,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1372267,0.024292,234,5864,1583,453234,34392.054593
2,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,29816608,0.527807,234,127421,70692,2493794,206390.690424
2,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,2024400,0.035835,234,8651,3863,262542,22837.716832
2,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,7015805,0.124192,234,29982,14707,610293,60643.834199
2,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,878943,0.015559,234,3756,1929,215237,14564.811624
2,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,2157772,0.038196,234,9221,5110,219374,20953.156629
2,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,331845,0.005874,234,1418,1088,3607,345.982491
2,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3424591,0.060621,234,14635,6776,372683,26797.421026
2,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1574390,0.027869,234,6728,3301,250073,21178.800677
2,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1702992,0.030146,234,7277,4752,135887,11258.468540
2,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,284696,0.005040,234,1216,772,2078,203.415577
2,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,3056875,0.054112,234,13063,1704,247391,21044.245639
2,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,247850838,4.387400,234,1059191,13047,243321643,15905171.532931
3,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1468979,0.026037,249,5899,3177,223034,18346.671709
3,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3463785,0.061395,249,13910,6479,215081,17361.192384
3,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,26956455,0.477796,249,108258,66215,2574721,166854.333522
3,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2688616,0.047655,249,10797,1845,31824,8457.299326
3,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,6199956,0.109892,249,24899,14573,451903,40615.584188
3,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,2335856,0.041402,249,9380,4458,287565,29075.867645
3,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1647540,0.029202,249,6616,4893,29990,2186.418977
3,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1779661,0.031544,249,7147,5026,231616,14363.856849
3,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1097881,0.019460,249,4409,1516,201219,19378.306394
3,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,803074,0.014234,249,3225,1907,227274,14263.651515
3,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,335451,0.005946,249,1347,1008,2784,256.350142
3,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,311036,0.005513,249,1249,837,12534,737.461341
3,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,225943512,4.004785,249,907403,13849,221679277,14047264.245930
4,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,350474,0.006256,249,1407,1010,5760,428.708587
4,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3497458,0.062429,249,14046,6524,503618,32455.234897
4,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,28057128,0.500812,249,112679,67485,1668728,148733.011294
4,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,797544,0.014236,249,3202,1850,190301,12061.655571
