Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,92248032,1.599363,255,361756,355328,662496,19920.891127
1,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,4689632,0.081307,255,18390,17408,22528,730.873353
1,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,119349216,2.069233,255,468036,459776,880640,33837.663059
1,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,61388832,1.064337,255,240740,235520,270336,4126.366269
1,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,431618048,7.483236,255,1692619,1670144,2140160,61698.491194
1,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,882482560,15.300161,255,3460715,3416064,3923968,76425.761358
1,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,312261568,5.413877,255,1224555,1209344,1677312,52055.861104
1,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,20815936,0.360899,255,81631,78848,433152,22320.836024
1,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,174489632,3.025238,255,684273,670720,1030144,30761.596606
1,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,271667200,4.710067,255,1065361,1051648,1557504,32384.195401
2,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,93780992,1.695904,239,392389,384000,727040,22125.158153
2,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,4387200,0.079337,239,18356,17408,20480,477.677786
2,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,113590304,2.054128,239,475273,460800,1026048,59896.629479
2,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,57587648,1.041395,239,240952,236544,280576,4625.889149
2,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,518086656,9.368903,239,2167726,2139136,2716672,76403.070324
2,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,949278272,17.166426,239,3971875,3915584,4515840,93477.730521
2,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,404482048,7.314516,239,1692393,1678336,2196480,48618.769182
2,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,19452928,0.351780,239,81393,78848,431104,22824.072353
2,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,170847264,3.089544,239,714842,700416,1069056,32518.899546
2,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,255939552,4.628324,239,1070876,1053696,1565696,46894.666005
3,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,97908736,1.740158,235,416632,409600,453632,5833.009163
