Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,236286240,4.200560,245,964433,931840,1420288,42862.409346
1,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,7166048,0.127394,245,29249,21504,34816,4935.704719
1,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,78546816,1.396360,245,320599,250880,363520,49896.944432
1,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,772495040,13.732970,245,3153040,2805760,3927008,247082.954095
1,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,213053216,3.787537,245,869604,754688,1332256,87907.302696
1,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,122392672,2.175826,245,499561,460800,1133536,55100.533644
1,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,193550112,3.440822,245,790000,623616,1205280,122213.746408
1,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,30425120,0.540880,245,124184,94208,497664,31458.491259
1,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,84540320,1.502909,245,345062,276480,709632,53768.244562
1,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,335463360,5.963674,245,1369238,1218560,2051072,119770.559900
2,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,84879872,1.544991,237,358142,292864,854048,64694.133128
2,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,6778240,0.123378,237,28600,22336,33824,4728.552005
2,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,116625568,2.122829,237,492091,458752,958464,41685.217291
2,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,73196992,1.332338,237,308848,250880,348128,43325.734175
2,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,361657088,6.582915,237,1525979,1349632,2149344,142939.495907
2,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,781962272,14.233348,237,3299418,2950144,3997696,260605.691992
2,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,245013152,4.459752,237,1033810,888832,1648640,123986.107296
2,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,28584224,0.520293,237,120608,94208,494592,30707.267983
2,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,186709120,3.398496,237,787802,638976,1333216,120040.463473
2,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,226787488,4.128006,237,956909,933888,1390592,54078.309049
3,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,230423552,4.178073,241,956114,933888,1363968,56244.082962
3,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,6010240,0.108979,241,24938,22304,27648,1860.637780
3,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,65371168,1.185319,241,271249,250880,316416,13412.993772
3,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,783000960,14.197486,241,3248966,3095552,3714048,122336.873791
3,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,261185536,4.735854,241,1083757,1017856,1523712,59880.777219
3,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,113639392,2.060526,241,471532,459776,826368,23704.573366
3,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,171706400,3.113405,241,712474,656384,1059840,44250.128387
3,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,25509856,0.462548,241,105850,94208,494592,26175.402813
3,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,80786432,1.464831,241,335213,310272,353280,18202.939509
3,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,374837248,6.796603,241,1555341,1480704,1994752,67458.986604
4,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,27890656,0.507977,235,118683,94208,492544,30894.517803
4,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,114706656,2.089173,235,488113,460800,861184,30729.938586
